metric,condition,conditional_probability
Systolic Blood Pressure,Opioid abuse (disorder),0.00023534026279662678
Systolic Blood Pressure,Neoplasm of prostate,0.00023534026279662678
Systolic Blood Pressure,Mitral valve regurgitation (disorder),0.00023534026279662678
Systolic Blood Pressure,Sore throat symptom (finding),0.00019611688566385565
Systolic Blood Pressure,Headache (finding),0.00019611688566385565
Systolic Blood Pressure,Bleeding from anus,0.00019611688566385565
Systolic Blood Pressure,Protracted diarrhea,0.00019611688566385565
Systolic Blood Pressure,Pyelonephritis,0.00019611688566385565
Systolic Blood Pressure,Pulmonary emphysema (disorder),0.00019611688566385565
Systolic Blood Pressure,Brain damage - traumatic,0.00015689350853108453
Systolic Blood Pressure,Tubal pregnancy,0.00015689350853108453
Systolic Blood Pressure,Smokes tobacco daily,0.00015689350853108453
Systolic Blood Pressure,Suspected lung cancer (situation),0.00015689350853108453
Systolic Blood Pressure,Alcoholism,0.00015689350853108453
Systolic Blood Pressure,Tear of meniscus of knee,0.00015689350853108453
Systolic Blood Pressure,Retinopathy due to type 2 diabetes mellitus (disorder),0.00015689350853108453
Systolic Blood Pressure,Closed fracture of hip,0.00015689350853108453
Systolic Blood Pressure,Injury of anterior cruciate ligament,0.00015689350853108453
Systolic Blood Pressure,Rupture of patellar tendon,0.00015689350853108453
Systolic Blood Pressure,Alzheimer's disease (disorder),0.00015689350853108453
Systolic Blood Pressure,Congenital uterine anomaly,0.00015689350853108453
Systolic Blood Pressure,Cholelithiasis,0.00011767013139831339
Systolic Blood Pressure,Aortic valve regurgitation (disorder),0.00011767013139831339
Systolic Blood Pressure,History of aortic valve replacement (situation),0.00011767013139831339
Systolic Blood Pressure,Body mass index 40+ - severely obese (finding),0.00011767013139831339
Systolic Blood Pressure,Contact dermatitis,0.00011767013139831339
Systolic Blood Pressure,Stroke,0.00011767013139831339
Systolic Blood Pressure,Gout,0.00011767013139831339
Systolic Blood Pressure,Pathological fracture due to osteoporosis (disorder),0.00011767013139831339
Systolic Blood Pressure,Traumatic dislocation of temporomandibular joint (disorder),0.00011767013139831339
Systolic Blood Pressure,Heart failure (disorder),0.00011767013139831339
Systolic Blood Pressure,Aortic valve stenosis (disorder),0.00011767013139831339
Systolic Blood Pressure,Fracture of mandible (disorder),0.00011767013139831339
Systolic Blood Pressure,Non-small cell lung cancer (disorder),0.00011767013139831339
Systolic Blood Pressure,Non-small cell carcinoma of lung  TNM stage 1 (disorder),0.00011767013139831339
Systolic Blood Pressure,Suspected prostate cancer (situation),0.00011767013139831339
Systolic Blood Pressure,Nasal congestion (finding),0.00011767013139831339
Systolic Blood Pressure,Died in hospice (finding),0.00011767013139831339
Systolic Blood Pressure,Primary fibromyalgia syndrome,0.00011767013139831339
Systolic Blood Pressure,Acute Cholecystitis,0.00011767013139831339
Systolic Blood Pressure,Nausea (finding),0.00011767013139831339
Systolic Blood Pressure,Vomiting symptom (finding),0.00011767013139831339
Systolic Blood Pressure,Human immunodeficiency virus infection (disorder),0.00011767013139831339
Systolic Blood Pressure,Infectious mediastinitis (disorder),7.844675426554226e-05
Systolic Blood Pressure,Injury of heart (disorder),7.844675426554226e-05
Systolic Blood Pressure,Traumatic injury of spinal cord and/or vertebral column (disorder),7.844675426554226e-05
Systolic Blood Pressure,Atrial fibrillation (disorder),7.844675426554226e-05
Systolic Blood Pressure,Complication occuring during pregnancy,7.844675426554226e-05
Systolic Blood Pressure,Rheumatoid arthritis,7.844675426554226e-05
Systolic Blood Pressure,Pneumonia,7.844675426554226e-05
Systolic Blood Pressure,Social migrant (finding),7.844675426554226e-05
Systolic Blood Pressure,Idiopathic atrophic hypothyroidism,7.844675426554226e-05
Systolic Blood Pressure,Passive conjunctival congestion (finding),7.844675426554226e-05
Systolic Blood Pressure,Overlapping malignant neoplasm of colon,7.844675426554226e-05
Systolic Blood Pressure,Kidney transplant failure and rejection (disorder),7.844675426554226e-05
Systolic Blood Pressure,Fracture of vertebral column without spinal cord injury,7.844675426554226e-05
Systolic Blood Pressure,Acquired coagulation disorder (disorder),7.844675426554226e-05
Systolic Blood Pressure,Primary malignant neoplasm of colon,7.844675426554226e-05
Systolic Blood Pressure,Malignant tumor of colon,7.844675426554226e-05
Systolic Blood Pressure,Unable to swallow saliva (finding),3.922337713277113e-05
Systolic Blood Pressure,Intellectual disability (disorder),3.922337713277113e-05
Systolic Blood Pressure,Spasticity (finding),3.922337713277113e-05
Systolic Blood Pressure,Poor muscle tone (finding),3.922337713277113e-05
Systolic Blood Pressure,Gastroesophageal reflux disease (disorder),3.922337713277113e-05
Systolic Blood Pressure,Constipation (finding),3.922337713277113e-05
Systolic Blood Pressure,Excessive salivation (disorder),3.922337713277113e-05
Systolic Blood Pressure,Dislocation of hip joint (disorder),3.922337713277113e-05
Systolic Blood Pressure,Cerebral palsy (disorder),3.922337713277113e-05
Systolic Blood Pressure,Secondary malignant neoplasm of colon,3.922337713277113e-05
Systolic Blood Pressure,Small cell carcinoma of lung (disorder),3.922337713277113e-05
Systolic Blood Pressure,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),3.922337713277113e-05
Systolic Blood Pressure,Renal dysplasia (disorder),3.922337713277113e-05
Systolic Blood Pressure,Acquired immune deficiency syndrome (disorder),3.922337713277113e-05
Systolic Blood Pressure,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),3.922337713277113e-05
Systolic Blood Pressure,Asthma,3.922337713277113e-05
Systolic Blood Pressure,Familial Alzheimer's disease of early onset (disorder),3.922337713277113e-05
Systolic Blood Pressure,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),3.922337713277113e-05
Systolic Blood Pressure,Metastasis from malignant tumor of prostate (disorder),3.922337713277113e-05
Systolic Blood Pressure,Major depression disorder,3.922337713277113e-05
Systolic Blood Pressure,Diarrhea symptom (finding),3.922337713277113e-05
Systolic Blood Pressure,Bacterial infectious disease (disorder),3.922337713277113e-05
Systolic Blood Pressure,Rupture of appendix,3.922337713277113e-05
Systolic Blood Pressure,Hemoptysis (finding),3.922337713277113e-05
Systolic Blood Pressure,Toxoplasma gondii antibody positive (finding),3.922337713277113e-05
Diastolic Blood Pressure,Medication review due (situation),0.18592090809227388
Diastolic Blood Pressure,Stress (finding),0.08421823507872574
Diastolic Blood Pressure,Full-time employment (finding),0.07675759794946906
Diastolic Blood Pressure,Gingivitis (disorder),0.0756133284511168
Diastolic Blood Pressure,Part-time employment (finding),0.04998169168802637
Diastolic Blood Pressure,Limited social contact (finding),0.029979860856829
Diastolic Blood Pressure,Social isolation (finding),0.02933906993775174
Diastolic Blood Pressure,Not in labor force (finding),0.026501281581838156
Diastolic Blood Pressure,Gingival disease (disorder),0.021649578908824605
Diastolic Blood Pressure,Viral sinusitis (disorder),0.020734163310142804
Diastolic Blood Pressure,Victim of intimate partner abuse (finding),0.0184456243134383
Diastolic Blood Pressure,Essential hypertension (disorder),0.016477480776272427
Diastolic Blood Pressure,Primary dental caries (disorder),0.015653606737458806
Diastolic Blood Pressure,Reports of violence in the environment (finding),0.015012815818381545
Diastolic Blood Pressure,Received higher education (finding),0.014692420358842915
Diastolic Blood Pressure,Normal pregnancy,0.013914317099963384
Diastolic Blood Pressure,Acute viral pharyngitis (disorder),0.013273526180886123
Diastolic Blood Pressure,Unemployed (finding),0.012358110582204321
Diastolic Blood Pressure,Body mass index 30+ - obesity (finding),0.011305382643720248
Diastolic Blood Pressure,Acute bronchitis (disorder),0.009932259245697546
Diastolic Blood Pressure,Anemia (disorder),0.008925302087147565
Diastolic Blood Pressure,Prediabetes,0.008696448187477114
Diastolic Blood Pressure,Risk activity involvement (finding),0.006362138410838521
Diastolic Blood Pressure,Unhealthy alcohol drinking behavior (finding),0.00590443061149762
Diastolic Blood Pressure,Chronic pain (finding),0.005812889051629439
Diastolic Blood Pressure,Transport problem (finding),0.005721347491761259
Diastolic Blood Pressure,Lack of access to transportation (finding),0.005675576711827169
Diastolic Blood Pressure,Metabolic syndrome X (disorder),0.005492493592090809
Diastolic Blood Pressure,Has a criminal record (finding),0.005492493592090809
Diastolic Blood Pressure,Disorder of kidney due to diabetes mellitus (disorder),0.005309410472354449
Diastolic Blood Pressure,Chronic low back pain (finding),0.005034785792749908
Diastolic Blood Pressure,Chronic sinusitis (disorder),0.004851702673013548
Diastolic Blood Pressure,Chronic kidney disease stage 1 (disorder),0.004805931893079458
Diastolic Blood Pressure,Infection of tooth (disorder),0.004485536433540827
Diastolic Blood Pressure,Received certificate of high school equivalency (finding),0.004348224093738557
Diastolic Blood Pressure,Past pregnancy history of miscarriage (situation),0.004302453313804467
Diastolic Blood Pressure,Microalbuminuria due to type 2 diabetes mellitus (disorder),0.004210911753936287
Diastolic Blood Pressure,Dental filling lost (finding),0.004073599414134017
Diastolic Blood Pressure,Chronic kidney disease stage 2 (disorder),0.004027828634199927
Diastolic Blood Pressure,Loose dental filling (finding),0.0037989747345294764
Diastolic Blood Pressure,Acute infective cystitis (disorder),0.0037989747345294764
Diastolic Blood Pressure,Housing unsatisfactory (finding),0.0037532039545953863
Diastolic Blood Pressure,Severe anxiety (panic) (finding),0.003570120834859026
Diastolic Blood Pressure,Leaking dental filling (finding),0.003478579274990846
Diastolic Blood Pressure,Misuses drugs (finding),0.003432808495056756
Diastolic Blood Pressure,Loss of teeth (disorder),0.003387037715122666
Diastolic Blood Pressure,Chronic neck pain (finding),0.0032954961552544857
Diastolic Blood Pressure,Fractured dental filling (finding),0.0031581838154522155
Diastolic Blood Pressure,Sprain (morphologic abnormality),0.0031581838154522155
Diastolic Blood Pressure,Drug overdose,0.0031124130355181254
Diastolic Blood Pressure,Laceration - injury (disorder),0.0030208714756499453
Diastolic Blood Pressure,Proteinuria due to type 2 diabetes mellitus (disorder),0.002975100695715855
Diastolic Blood Pressure,Abnormal findings diagnostic imaging heart+coronary circulat (finding),0.0028835591358476746
Diastolic Blood Pressure,Chronic kidney disease stage 3 (disorder),0.0028377883559135846
Diastolic Blood Pressure,Ischemic heart disease (disorder),0.0027920175759794945
Diastolic Blood Pressure,Fracture of bone (disorder),0.0026089344562431342
Diastolic Blood Pressure,Sprain of ankle,0.002380080556572684
Diastolic Blood Pressure,Streptococcal sore throat (disorder),0.002334309776638594
Diastolic Blood Pressure,Refugee (person),0.0022427682167704137
Diastolic Blood Pressure,Sinusitis (disorder),0.0019223727572317832
Diastolic Blood Pressure,Suspected COVID-19,0.0019223727572317832
Diastolic Blood Pressure,COVID-19,0.0018766019772976932
Diastolic Blood Pressure,History of tubal ligation (situation),0.001830831197363603
Diastolic Blood Pressure,Awaiting transplantation of kidney (situation),0.001830831197363603
Diastolic Blood Pressure,Chronic kidney disease stage 4 (disorder),0.001785060417429513
Diastolic Blood Pressure,Fever (finding),0.001739289637495423
Diastolic Blood Pressure,Otitis media,0.0016477480776272428
Diastolic Blood Pressure,Concussion injury of brain (disorder),0.0015562065177590627
Diastolic Blood Pressure,Polyp of colon,0.0015562065177590627
Diastolic Blood Pressure,Sleep disorder (disorder),0.0015562065177590627
Diastolic Blood Pressure,Hyperlipidemia,0.0015104357378249726
Diastolic Blood Pressure,Miscarriage in first trimester,0.0015104357378249726
Diastolic Blood Pressure,Acute bacterial sinusitis (disorder),0.0015104357378249726
Diastolic Blood Pressure,Diabetes mellitus type 2 (disorder),0.0014646649578908824
Diastolic Blood Pressure,Only received primary school education (finding),0.0014188941779567923
Diastolic Blood Pressure,Whiplash injury to neck,0.0013731233980227022
Diastolic Blood Pressure,Injury of neck (disorder),0.0013731233980227022
Diastolic Blood Pressure,Recurrent urinary tract infection (disorder),0.0013731233980227022
Diastolic Blood Pressure,History of renal transplant (situation),0.0013273526180886122
Diastolic Blood Pressure,Hypertriglyceridemia (disorder),0.0013273526180886122
Diastolic Blood Pressure,Served in armed forces (finding),0.001190040278286342
Diastolic Blood Pressure,Obstructive sleep apnea syndrome (disorder),0.001190040278286342
Diastolic Blood Pressure,Cough (finding),0.0011442694983522519
Diastolic Blood Pressure,Osteoarthritis of knee,0.0010984987184181618
Diastolic Blood Pressure,Concussion with no loss of consciousness,0.0010527279384840718
Diastolic Blood Pressure,History of coronary artery bypass grafting (situation),0.0010527279384840718
Diastolic Blood Pressure,History of appendectomy,0.0010069571585499817
Diastolic Blood Pressure,History of myocardial infarction (situation),0.0010069571585499817
Diastolic Blood Pressure,Loss of taste (finding),0.0009611863786158916
Diastolic Blood Pressure,Dependent drug abuse (disorder),0.0009611863786158916
Diastolic Blood Pressure,Impacted molars,0.0009611863786158916
Diastolic Blood Pressure,Laceration of forearm,0.0009611863786158916
Diastolic Blood Pressure,Burn injury (morphologic abnormality),0.0009611863786158916
Diastolic Blood Pressure,Fatigue (finding),0.0009154155986818016
Diastolic Blood Pressure,Chronic pain,0.0008696448187477115
Diastolic Blood Pressure,Chronic intractable migraine without aura,0.0008696448187477115
Diastolic Blood Pressure,Complete miscarriage (disorder),0.0008696448187477115
Diastolic Blood Pressure,Fibromyalgia (disorder),0.0008238740388136214
Diastolic Blood Pressure,Hypoxemia (disorder),0.0008238740388136214
Diastolic Blood Pressure,Pneumonia (disorder),0.0008238740388136214
Diastolic Blood Pressure,Antepartum eclampsia,0.0008238740388136214
Diastolic Blood Pressure,Respiratory distress (finding),0.0008238740388136214
Diastolic Blood Pressure,Sepsis (disorder),0.0008238740388136214
Diastolic Blood Pressure,Seizure disorder,0.0007781032588795314
Diastolic Blood Pressure,History of single seizure (situation),0.0007781032588795314
Diastolic Blood Pressure,Osteoporosis (disorder),0.0007781032588795314
Diastolic Blood Pressure,End-stage renal disease (disorder),0.0007781032588795314
Diastolic Blood Pressure,Sprain of wrist,0.0007781032588795314
Diastolic Blood Pressure,Alveolitis of jaw (disorder),0.0007323324789454412
Diastolic Blood Pressure,Myocardial infarction (disorder),0.0007323324789454412
Diastolic Blood Pressure,Sterilization requested (situation),0.0006865616990113511
Diastolic Blood Pressure,Fracture of forearm,0.000640790919077261
Diastolic Blood Pressure,Epidermal burn of skin (disorder),0.000640790919077261
Diastolic Blood Pressure,Fracture subluxation of wrist,0.000595020139143171
Diastolic Blood Pressure,Laceration of thigh,0.000595020139143171
Diastolic Blood Pressure,Wheezing (finding),0.000595020139143171
Diastolic Blood Pressure,Dyspnea (finding),0.000595020139143171
Diastolic Blood Pressure,Preeclampsia,0.0005492493592090809
Diastolic Blood Pressure,Osteoarthritis of hip,0.0005492493592090809
Diastolic Blood Pressure,Sputum finding (finding),0.0005492493592090809
Diastolic Blood Pressure,Hyperglycemia (disorder),0.0005492493592090809
Diastolic Blood Pressure,Chronic congestive heart failure (disorder),0.0005034785792749908
Diastolic Blood Pressure,Facial laceration,0.0005034785792749908
Diastolic Blood Pressure,Acute ST segment elevation myocardial infarction (disorder),0.0005034785792749908
Diastolic Blood Pressure,Acute non-ST segment elevation myocardial infarction (disorder),0.0005034785792749908
Diastolic Blood Pressure,Epilepsy,0.0005034785792749908
Diastolic Blood Pressure,Laceration of hand,0.0005034785792749908
Diastolic Blood Pressure,Fracture of ankle,0.0004577077993409008
Diastolic Blood Pressure,Opioid abuse (disorder),0.0004577077993409008
Diastolic Blood Pressure,Injury of tendon of the rotator cuff of shoulder,0.0004577077993409008
Diastolic Blood Pressure,Laceration of foot,0.0004577077993409008
Diastolic Blood Pressure,Concussion with loss of consciousness,0.0004119370194068107
Diastolic Blood Pressure,Fracture of clavicle,0.0004119370194068107
Diastolic Blood Pressure,Pathological fracture due to osteoporosis (disorder),0.0004119370194068107
Diastolic Blood Pressure,Injury of knee (disorder),0.0004119370194068107
Diastolic Blood Pressure,Torus palatinus (disorder),0.0003661662394727206
Diastolic Blood Pressure,Neuropathy due to type 2 diabetes mellitus (disorder),0.0003661662394727206
Diastolic Blood Pressure,Blighted ovum,0.0003661662394727206
Diastolic Blood Pressure,Child attention deficit disorder,0.0003661662394727206
Diastolic Blood Pressure,Sleep apnea (disorder),0.0003661662394727206
Diastolic Blood Pressure,Fracture of rib,0.0003203954595386305
Diastolic Blood Pressure,Chronic obstructive bronchitis (disorder),0.0003203954595386305
Diastolic Blood Pressure,Second degree burn,0.0003203954595386305
Diastolic Blood Pressure,Perennial allergic rhinitis,0.0003203954595386305
Diastolic Blood Pressure,Acute respiratory failure (disorder),0.0003203954595386305
Diastolic Blood Pressure,Miscarriage in second trimester,0.0003203954595386305
Diastolic Blood Pressure,Acute deep venous thrombosis (disorder),0.0003203954595386305
Diastolic Blood Pressure,Septic shock (disorder),0.0003203954595386305
Diastolic Blood Pressure,Childhood asthma,0.0003203954595386305
Diastolic Blood Pressure,Chill (finding),0.0003203954595386305
Diastolic Blood Pressure,Localized  primary osteoarthritis of the hand,0.0003203954595386305
Diastolic Blood Pressure,Sepsis caused by virus (disorder),0.0003203954595386305
Diastolic Blood Pressure,Resorption of alveolar process due to dental trauma (disorder),0.00027462467960454045
Diastolic Blood Pressure,Muscle pain (finding),0.00027462467960454045
Diastolic Blood Pressure,Headache (finding),0.00027462467960454045
Diastolic Blood Pressure,Tubal pregnancy,0.00027462467960454045
Diastolic Blood Pressure,Pulmonary emphysema (disorder),0.00027462467960454045
Diastolic Blood Pressure,Smokes tobacco daily,0.00027462467960454045
Diastolic Blood Pressure,History of aortic valve replacement (situation),0.00027462467960454045
Diastolic Blood Pressure,Perennial allergic rhinitis with seasonal variation,0.00027462467960454045
Diastolic Blood Pressure,Acute pulmonary embolism (disorder),0.00027462467960454045
Diastolic Blood Pressure,Joint pain (finding),0.00027462467960454045
Diastolic Blood Pressure,Malignant neoplasm of breast (disorder),0.00027462467960454045
Diastolic Blood Pressure,Suspected prostate cancer (situation),0.0002288538996704504
Diastolic Blood Pressure,Fetus with chromosomal abnormality,0.0002288538996704504
Diastolic Blood Pressure,Recurrent rectal polyp,0.0002288538996704504
Diastolic Blood Pressure,Mitral valve regurgitation (disorder),0.0002288538996704504
Diastolic Blood Pressure,Neoplasm of prostate,0.0002288538996704504
Diastolic Blood Pressure,Transformed migraine (disorder),0.0002288538996704504
Diastolic Blood Pressure,Died in hospice (finding),0.0002288538996704504
Diastolic Blood Pressure,Alzheimer's disease (disorder),0.0002288538996704504
Diastolic Blood Pressure,Carcinoma in situ of prostate (disorder),0.0002288538996704504
Diastolic Blood Pressure,Atopic dermatitis,0.0002288538996704504
Diastolic Blood Pressure,Fracture of mandible (disorder),0.0001830831197363603
Diastolic Blood Pressure,Closed fracture of hip,0.0001830831197363603
Diastolic Blood Pressure,Bullet wound,0.0001830831197363603
Diastolic Blood Pressure,Gunshot wound (disorder),0.0001830831197363603
Diastolic Blood Pressure,Contact dermatitis,0.0001830831197363603
Diastolic Blood Pressure,Acute respiratory distress syndrome (disorder),0.0001830831197363603
Diastolic Blood Pressure,Rupture of patellar tendon,0.0001830831197363603
Diastolic Blood Pressure,Acute allergic reaction,0.0001830831197363603
Diastolic Blood Pressure,Bleeding from anus,0.0001830831197363603
Diastolic Blood Pressure,Protracted diarrhea,0.0001830831197363603
Diastolic Blood Pressure,Homeless (finding),0.0001830831197363603
Diastolic Blood Pressure,Sore throat symptom (finding),0.0001830831197363603
Diastolic Blood Pressure,Aortic valve stenosis (disorder),0.0001830831197363603
Diastolic Blood Pressure,Body mass index 40+ - severely obese (finding),0.0001830831197363603
Diastolic Blood Pressure,Retinopathy due to type 2 diabetes mellitus (disorder),0.0001830831197363603
Diastolic Blood Pressure,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),0.0001830831197363603
Diastolic Blood Pressure,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),0.0001830831197363603
Diastolic Blood Pressure,Infectious mediastinitis (disorder),0.00013731233980227023
Diastolic Blood Pressure,Diarrhea symptom (finding),0.00013731233980227023
Diastolic Blood Pressure,Malignant tumor of colon,0.00013731233980227023
Diastolic Blood Pressure,Aortic valve regurgitation (disorder),0.00013731233980227023
Diastolic Blood Pressure,Alcoholism,0.00013731233980227023
Diastolic Blood Pressure,Vomiting symptom (finding),0.00013731233980227023
Diastolic Blood Pressure,Primary fibromyalgia syndrome,0.00013731233980227023
Diastolic Blood Pressure,Acute Cholecystitis,0.00013731233980227023
Diastolic Blood Pressure,Cholelithiasis,0.00013731233980227023
Diastolic Blood Pressure,Nausea (finding),0.00013731233980227023
Diastolic Blood Pressure,Primary malignant neoplasm of colon,9.154155986818015e-05
Diastolic Blood Pressure,Seasonal allergic rhinitis,9.154155986818015e-05
Diastolic Blood Pressure,Idiopathic atrophic hypothyroidism,9.154155986818015e-05
Diastolic Blood Pressure,Traumatic dislocation of temporomandibular joint (disorder),9.154155986818015e-05
Diastolic Blood Pressure,Pneumonia,9.154155986818015e-05
Diastolic Blood Pressure,Injury of medial collateral ligament of knee,9.154155986818015e-05
Diastolic Blood Pressure,Metastasis from malignant tumor of prostate (disorder),9.154155986818015e-05
Diastolic Blood Pressure,Nasal congestion (finding),9.154155986818015e-05
Diastolic Blood Pressure,Appendicitis,9.154155986818015e-05
Diastolic Blood Pressure,Brain damage - traumatic,9.154155986818015e-05
Diastolic Blood Pressure,Tear of meniscus of knee,9.154155986818015e-05
Diastolic Blood Pressure,Kidney transplant failure and rejection (disorder),9.154155986818015e-05
Diastolic Blood Pressure,Rupture of appendix,9.154155986818015e-05
Diastolic Blood Pressure,Human immunodeficiency virus infection (disorder),9.154155986818015e-05
Diastolic Blood Pressure,Gout,9.154155986818015e-05
Diastolic Blood Pressure,Familial Alzheimer's disease of early onset (disorder),9.154155986818015e-05
Diastolic Blood Pressure,Stroke,9.154155986818015e-05
Diastolic Blood Pressure,Pyelonephritis,9.154155986818015e-05
Diastolic Blood Pressure,Rheumatoid arthritis,9.154155986818015e-05
Diastolic Blood Pressure,Social migrant (finding),4.5770779934090074e-05
Diastolic Blood Pressure,Spasticity (finding),4.5770779934090074e-05
Diastolic Blood Pressure,Gastroesophageal reflux disease (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Dislocation of hip joint (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Secondary malignant neoplasm of colon,4.5770779934090074e-05
Diastolic Blood Pressure,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Suspected lung cancer (situation),4.5770779934090074e-05
Diastolic Blood Pressure,Small cell carcinoma of lung (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Renal dysplasia (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Excessive salivation (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Unable to swallow saliva (finding),4.5770779934090074e-05
Diastolic Blood Pressure,Constipation (finding),4.5770779934090074e-05
Diastolic Blood Pressure,Atrial fibrillation (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Intellectual disability (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Cerebral palsy (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Poor muscle tone (finding),4.5770779934090074e-05
Diastolic Blood Pressure,Acquired immune deficiency syndrome (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Overlapping malignant neoplasm of colon,4.5770779934090074e-05
Diastolic Blood Pressure,Asthma,4.5770779934090074e-05
Diastolic Blood Pressure,Congenital uterine anomaly,4.5770779934090074e-05
Diastolic Blood Pressure,Acquired coagulation disorder (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Heart failure (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Complication occuring during pregnancy,4.5770779934090074e-05
Diastolic Blood Pressure,Pulmonic valve stenosis (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Injury of anterior cruciate ligament,4.5770779934090074e-05
Diastolic Blood Pressure,History of artificial joint (situation),4.5770779934090074e-05
Diastolic Blood Pressure,Fracture of vertebral column without spinal cord injury,4.5770779934090074e-05
Diastolic Blood Pressure,Traumatic injury of spinal cord and/or vertebral column (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,History of autologous bone marrow transplant (situation),4.5770779934090074e-05
Diastolic Blood Pressure,Awaiting transplantation of bone marrow (situation),4.5770779934090074e-05
Diastolic Blood Pressure,Multiple myeloma (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Injury of kidney (disorder),4.5770779934090074e-05
Diastolic Blood Pressure,Major depression disorder,4.5770779934090074e-05
Diastolic Blood Pressure,Passive conjunctival congestion (finding),4.5770779934090074e-05
Diastolic Blood Pressure,Chronic paralysis due to lesion of spinal cord,4.5770779934090074e-05
Diastolic Blood Pressure,Toxoplasma gondii antibody positive (finding),4.5770779934090074e-05
Respiratory rate,Medication review due (situation),0.15384615384615385
Respiratory rate,Stress (finding),0.06793478260869565
Respiratory rate,Gingivitis (disorder),0.06500836120401338
Respiratory rate,Full-time employment (finding),0.06072324414715719
Respiratory rate,Part-time employment (finding),0.034803511705685616
Respiratory rate,Viral sinusitis (disorder),0.023306856187290968
Respiratory rate,Limited social contact (finding),0.022366220735785952
Respiratory rate,Social isolation (finding),0.02153010033444816
Respiratory rate,Gingival disease (disorder),0.021425585284280936
Respiratory rate,Not in labor force (finding),0.020380434782608696
Respiratory rate,Normal pregnancy,0.018499163879598664
Respiratory rate,Suspected COVID-19,0.018290133779264216
Respiratory rate,COVID-19,0.017663043478260868
Respiratory rate,Fever (finding),0.0169314381270903
Respiratory rate,Acute viral pharyngitis (disorder),0.01640886287625418
Respiratory rate,Primary dental caries (disorder),0.016095317725752508
Respiratory rate,Received higher education (finding),0.015677257525083612
Respiratory rate,Victim of intimate partner abuse (finding),0.014423076923076924
Respiratory rate,Unemployed (finding),0.012646321070234114
Respiratory rate,Cough (finding),0.0112876254180602
Respiratory rate,Reports of violence in the environment (finding),0.0112876254180602
Respiratory rate,Acute bronchitis (disorder),0.010346989966555184
Respiratory rate,Loss of taste (finding),0.009824414715719064
Respiratory rate,Body mass index 30+ - obesity (finding),0.009615384615384616
Respiratory rate,Acute infective cystitis (disorder),0.00898829431438127
Respiratory rate,Risk activity involvement (finding),0.008883779264214046
Respiratory rate,Essential hypertension (disorder),0.008570234113712374
Respiratory rate,Prediabetes,0.00794314381270903
Respiratory rate,Fatigue (finding),0.007838628762541806
Respiratory rate,Anemia (disorder),0.007211538461538462
Respiratory rate,Chronic pain (finding),0.006897993311036789
Respiratory rate,Transport problem (finding),0.006793478260869565
Respiratory rate,Lack of access to transportation (finding),0.006479933110367893
Respiratory rate,Chronic low back pain (finding),0.005957357859531773
Respiratory rate,Sputum finding (finding),0.005957357859531773
Respiratory rate,Past pregnancy history of miscarriage (situation),0.005539297658862876
Respiratory rate,Laceration - injury (disorder),0.00512123745819398
Respiratory rate,Housing unsatisfactory (finding),0.004912207357859532
Respiratory rate,Unhealthy alcohol drinking behavior (finding),0.004912207357859532
Respiratory rate,Wheezing (finding),0.00459866220735786
Respiratory rate,Dyspnea (finding),0.00459866220735786
Respiratory rate,Hypoxemia (disorder),0.004285117056856187
Respiratory rate,Respiratory distress (finding),0.004285117056856187
Respiratory rate,Pneumonia (disorder),0.004285117056856187
Respiratory rate,Sprain (morphologic abnormality),0.004285117056856187
Respiratory rate,Streptococcal sore throat (disorder),0.004180602006688963
Respiratory rate,Infection of tooth (disorder),0.003971571906354515
Respiratory rate,Has a criminal record (finding),0.003971571906354515
Respiratory rate,Disorder of kidney due to diabetes mellitus (disorder),0.003762541806020067
Respiratory rate,Received certificate of high school equivalency (finding),0.003762541806020067
Respiratory rate,Chronic neck pain (finding),0.003658026755852843
Respiratory rate,Fracture of bone (disorder),0.0035535117056856185
Respiratory rate,Sprain of ankle,0.0034489966555183945
Respiratory rate,Loss of teeth (disorder),0.0034489966555183945
Respiratory rate,Dental filling lost (finding),0.0033444816053511705
Respiratory rate,Chronic kidney disease stage 1 (disorder),0.0033444816053511705
Respiratory rate,Severe anxiety (panic) (finding),0.0033444816053511705
